"index","progressed","size","PDI","API_prop","oil_total","surfactant_total","cosolvent_total","other_total","o_num","s_num","c_num","other_num","cplx_minmax_norm","API_mol_wt","logp_chemaxon","API_melt_temp","API_water_sol","API_polar_sa","API_rot_bond","API_H_bond_donor","API_H_bond_accept","o_LC","o_sat","s_HLB","c_mol_wt","c_melt_temp","c_boil_temp","c_density","c_viscosity"
1,"0",194.7,0.231,19.05,42.86,38.1,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
2,"0",194,0.268,18.18,45.45,36.36,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
3,"0",171.1,0.232,17.39,47.83,34.78,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
4,"0",182.7,0.204,18.18,40.91,40.91,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
5,"1",201.8,0.277,17.39,43.48,39.13,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
6,"0",192.6,0.304,16.67,45.83,37.5,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
7,"0",255.7,0.189,17.39,39.13,43.48,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
8,"0",179.6,0.236,16.67,41.67,41.67,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
9,"0",159.9,0.237,16,44,40,0,0,1,2,0,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,11.5,0,0,0,0,0
10,"1",148,0.237,13.56,48.42,30,8,0.02,1,1,1,2,0.375,314.47,6.33,67,0.0126,40.46,6,2,2,1,0,15,400,6,250,1.1,90
11,"1",194,0.258,5.42,56.56,30,8,0.02,1,1,1,2,0.375,314.47,6.33,67,0.0126,40.46,6,2,2,1,0,15,400,6,250,1.1,90
12,"1",41,0.22,10,18,45,27,0,1,1,1,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,12.4,76.1,-59,188.2,1,56
13,"0",72,0.43,10,18,40.5,31.5,0,1,1,1,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,12.4,76.1,-59,188.2,1,56
14,"0",192,0.26,10,18,45,27,0,1,1,1,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,12.4,76.1,-59,188.2,1,56
15,"0",674,0.57,10,18,54,18,0,1,1,1,0,0.125,314.47,6.33,67,0.0126,40.46,6,2,2,0,1,12.4,76.1,-59,188.2,1,56
16,"1",25,0.3,10,11,59,20,0,1,4,1,0,0.5,314.47,6.33,67,0.0126,40.46,6,2,2,1,0,11.6,46.1,-114.1,78.4,0.8,1.1
