iter	Passed	Remaining
0	1	1447
1	2	1011
2	2	874
3	3	823
4	4	799
5	4	764
6	5	762
7	6	750
8	6	738
9	7	743
10	8	734
11	8	718
12	9	710
13	10	710
14	10	705
15	11	699
16	12	699
17	12	707
18	13	700
19	14	700
20	15	701
21	15	701
22	16	698
23	17	693
24	17	691
25	18	684
26	18	678
27	19	671
28	19	665
29	20	659
30	20	655
31	21	651
32	22	647
33	22	645
34	23	644
35	23	641
36	24	633
37	24	624
38	25	622
39	26	625
40	27	640
41	27	637
42	28	634
43	29	635
44	29	634
45	30	632
46	31	629
47	31	627
48	32	624
49	32	622
50	33	620
51	33	619
52	34	616
53	35	613
54	35	610
55	36	609
56	36	607
57	37	605
58	37	602
59	38	600
60	38	597
61	39	595
62	40	596
63	40	594
64	41	593
65	41	591
66	42	589
67	42	588
68	43	587
69	44	586
70	44	586
71	45	584
72	45	582
73	46	581
74	47	580
75	47	579
76	48	578
77	48	578
78	49	578
79	50	584
80	51	586
81	52	584
82	53	591
83	54	589
84	54	588
85	55	586
86	55	585
87	56	584
88	56	582
89	57	580
90	58	580
91	58	579
92	59	578
93	59	576
94	60	574
95	60	573
96	61	571
97	61	570
98	62	569
99	63	567
100	63	567
101	64	565
102	64	564
103	65	562
104	65	561
105	66	560
106	67	559
107	67	558
108	68	557
109	68	557
110	69	556
111	70	555
112	70	554
113	71	553
114	71	552
115	72	550
116	72	549
117	73	548
118	73	547
119	74	544
120	74	544
121	75	543
122	76	542
123	76	541
124	77	540
125	77	539
126	78	539
127	78	538
128	79	537
129	80	536
130	80	535
131	81	534
132	81	533
133	82	532
134	82	531
135	83	530
136	84	529
137	84	528
138	85	528
139	85	527
140	86	526
141	87	525
142	87	524
143	88	523
144	88	522
145	89	522
146	89	521
147	90	520
148	91	519
149	91	518
150	92	518
151	92	517
152	93	517
153	94	516
154	94	514
155	95	514
156	95	513
157	96	516
158	97	515
159	98	515
160	98	514
161	99	514
162	100	514
163	100	513
164	101	512
165	101	512
166	102	511
167	103	510
168	103	510
169	104	509
170	104	508
171	105	507
172	105	506
173	106	505
174	107	504
175	107	503
176	108	503
177	108	502
178	109	502
179	110	504
180	111	504
181	111	503
182	112	502
183	113	501
184	113	500
185	114	499
186	114	498
187	116	501
188	116	500
189	117	500
190	117	499
191	118	499
192	119	498
193	119	497
194	120	497
195	121	497
196	121	497
197	122	496
198	123	495
199	123	495
200	124	494
201	125	493
202	125	493
203	126	492
204	126	491
205	127	491
206	127	490
207	128	489
208	129	489
209	129	488
210	130	487
